race,gender,education_years,age_mid,avg_income,population_count
white,female,8,21,0,33
white,female,8,30,25970,126
white,female,8,40,36690,169
white,female,8,50,29330,281
white,female,8,60,27190,257
white,female,8,73,27290,92
white,female,11,21,12550,661
white,female,11,30,28240,357
white,female,11,40,31750,438
white,female,11,50,32650,370
white,female,11,60,30640,330
white,female,11,73,28700,151
white,female,12,21,25890,2470
white,female,12,30,34320,2692
white,female,12,40,39260,2459
white,female,12,50,47980,2361
white,female,12,60,52420,2654
white,female,12,73,34890,1239
white,female,13,21,20220,2625
white,female,13,30,39210,1786
white,female,13,40,51840,1579
white,female,13,50,53230,1502
white,female,13,60,55460,1542
white,female,13,73,35820,869
white,female,14,21,28480,607
white,female,14,30,43010,1525
white,female,14,40,52580,1624
white,female,14,50,59470,1532
white,female,14,60,53620,1563
white,female,14,73,44910,733
white,female,16,21,38640,1332
white,female,16,30,73250,4686
white,female,16,40,82130,4072
white,female,16,50,86250,3479
white,female,16,60,82540,2803
white,female,16,73,50480,1144
white,female,18,21,40950,114
white,female,18,30,75480,1849
white,female,18,40,95910,2340
white,female,18,50,97140,2006
white,female,18,60,89020,1380
white,female,18,73,63390,704
white,female,17,21,63292,3
white,female,17,30,106900,143
white,female,17,40,140000,228
white,female,17,50,174000,235
white,female,17,60,147500,129
white,female,17,73,214800,96
white,female,22,21,109540,14
white,female,22,30,100600,318
white,female,22,40,145100,478
white,female,22,50,138900,337
white,female,22,60,134900,222
white,female,22,73,105700,142
white,male,8,21,26830,109
white,male,8,30,38870,299
white,male,8,40,43270,462
white,male,8,50,45800,635
white,male,8,60,44210,485
white,male,8,73,43180,210
white,male,11,21,19180,954
white,male,11,30,50650,574
white,male,11,40,43340,832
white,male,11,50,62850,697
white,male,11,60,50470,600
white,male,11,73,57720,211
white,male,12,21,33210,3584
white,male,12,30,56070,4983
white,male,12,40,66880,4153
white,male,12,50,69300,3647
white,male,12,60,76800,3513
white,male,12,73,56190,1480
white,male,13,21,23950,2165
white,male,13,30,58330,2152
white,male,13,40,75470,2087
white,male,13,50,88900,1718
white,male,13,60,79290,1570
white,male,13,73,61610,906
white,male,14,21,39360,548
white,male,14,30,67960,1579
white,male,14,40,80410,1768
white,male,14,50,82720,1580
white,male,14,60,86720,1409
white,male,14,73,73720,651
white,male,16,21,50160,908
white,male,16,30,93120,4775
white,male,16,40,128800,4125
white,male,16,50,128100,3303
white,male,16,60,129100,2742
white,male,16,73,87430,1472
white,male,18,21,131264,44
white,male,18,30,101500,1008
white,male,18,40,154600,1673
white,male,18,50,164200,1661
white,male,18,60,163000,1266
white,male,18,73,97680,734
white,male,17,21,201449,3
white,male,17,30,104200,152
white,male,17,40,190500,269
white,male,17,50,229700,231
white,male,17,60,244900,250
white,male,17,73,157700,305
white,male,22,21,155062,2
white,male,22,30,119700,257
white,male,22,40,177800,392
white,male,22,50,207000,319
white,male,22,60,176300,340
white,male,22,73,105100,327
black,female,8,21,0,4
black,female,8,30,0,12
black,female,8,40,0,33
black,female,8,50,0,49
black,female,8,60,0,24
black,female,8,73,0,17
black,female,11,21,11560,131
black,female,11,30,35370,134
black,female,11,40,24540,95
black,female,11,50,11383,45
black,female,11,60,11383,65
black,female,11,73,11383,41
black,female,12,21,33750,610
black,female,12,30,29990,816
black,female,12,40,38360,660
black,female,12,50,44450,605
black,female,12,60,43050,495
black,female,12,73,31370,229
black,female,13,21,17590,441
black,female,13,30,36340,584
black,female,13,40,41550,527
black,female,13,50,52740,350
black,female,13,60,51940,300
black,female,13,73,40150,117
black,female,14,21,26750,114
black,female,14,30,38880,360
black,female,14,40,53240,411
black,female,14,50,64880,270
black,female,14,60,56380,264
black,female,14,73,38200,93
black,female,16,21,38820,261
black,female,16,30,68470,818
black,female,16,40,67730,719
black,female,16,50,74360,538
black,female,16,60,79280,373
black,female,16,73,58710,127
black,female,18,21,107598,34
black,female,18,30,74920,302
black,female,18,40,95090,402
black,female,18,50,90460,418
black,female,18,60,86840,199
black,female,18,73,72430,75
black,female,17,21,56463,0
black,female,17,30,56463,19
black,female,17,40,56463,28
black,female,17,50,56463,39
black,female,17,60,56463,28
black,female,17,73,56463,3
black,female,22,21,93972,0
black,female,22,30,93972,11
black,female,22,40,93972,46
black,female,22,50,93972,74
black,female,22,60,93972,42
black,female,22,73,93972,18
black,male,8,21,0,7
black,male,8,30,0,14
black,male,8,40,0,30
black,male,8,50,0,34
black,male,8,60,0,17
black,male,8,73,0,7
black,male,11,21,13880,142
black,male,11,30,34420,102
black,male,11,40,33390,141
black,male,11,50,39100,122
black,male,11,60,33890,100
black,male,11,73,11171,49
black,male,12,21,29200,709
black,male,12,30,46190,1016
black,male,12,40,52680,896
black,male,12,50,61400,709
black,male,12,60,52940,637
black,male,12,73,50900,178
black,male,13,21,22250,428
black,male,13,30,44570,629
black,male,13,40,57560,530
black,male,13,50,56540,298
black,male,13,60,83480,244
black,male,13,73,66530,131
black,male,14,21,27590,86
black,male,14,30,55460,343
black,male,14,40,59800,328
black,male,14,50,68060,243
black,male,14,60,64030,183
black,male,14,73,61890,84
black,male,16,21,52010,87
black,male,16,30,76690,684
black,male,16,40,90710,585
black,male,16,50,106600,410
black,male,16,60,95620,274
black,male,16,73,59210,136
black,male,18,21,95797,10
black,male,18,30,75450,109
black,male,18,40,137700,183
black,male,18,50,128600,186
black,male,18,60,111200,113
black,male,18,73,95797,61
black,male,17,21,148459,1
black,male,17,30,148459,17
black,male,17,40,148459,28
black,male,17,50,148459,34
black,male,17,60,148459,3
black,male,17,73,148459,16
black,male,22,21,108417,0
black,male,22,30,108417,34
black,male,22,40,108417,40
black,male,22,50,108417,51
black,male,22,60,108417,37
black,male,22,73,108417,22
asian,female,8,21,0,0
asian,female,8,30,0,0
asian,female,8,40,0,9
asian,female,8,50,0,50
asian,female,8,60,0,35
asian,female,8,73,0,19
asian,female,11,21,6920,38
asian,female,11,30,6920,25
asian,female,11,40,6920,33
asian,female,11,50,6920,40
asian,female,11,60,6920,44
asian,female,11,73,6920,10
asian,female,12,21,19430,136
asian,female,12,30,66940,120
asian,female,12,40,36680,178
asian,female,12,50,41510,209
asian,female,12,60,50450,175
asian,female,12,73,41250,83
asian,female,13,21,16360,247
asian,female,13,30,37740,123
asian,female,13,40,48790,99
asian,female,13,50,47710,75
asian,female,13,60,70520,102
asian,female,13,73,31832,45
asian,female,14,21,39759,54
asian,female,14,30,38600,79
asian,female,14,40,57510,109
asian,female,14,50,50500,100
asian,female,14,60,56090,76
asian,female,14,73,39759,41
asian,female,16,21,43770,201
asian,female,16,30,82370,673
asian,female,16,40,89080,613
asian,female,16,50,79210,499
asian,female,16,60,77580,300
asian,female,16,73,61640,109
asian,female,18,21,146580,23
asian,female,18,30,103500,495
asian,female,18,40,116900,438
asian,female,18,50,125400,303
asian,female,18,60,109800,141
asian,female,18,73,146580,30
asian,female,17,21,61506,0
asian,female,17,30,61506,31
asian,female,17,40,61506,57
asian,female,17,50,61506,36
asian,female,17,60,61506,29
asian,female,17,73,61506,9
asian,female,22,21,117916,0
asian,female,22,30,92470,92
asian,female,22,40,171600,117
asian,female,22,50,134800,77
asian,female,22,60,117916,30
asian,female,22,73,117916,17
asian,male,8,21,3965,0
asian,male,8,30,3965,17
asian,male,8,40,3965,12
asian,male,8,50,3965,44
asian,male,8,60,3965,43
asian,male,8,73,3965,15
asian,male,11,21,8781,20
asian,male,11,30,8781,16
asian,male,11,40,8781,42
asian,male,11,50,8781,42
asian,male,11,60,8781,45
asian,male,11,73,8781,18
asian,male,12,21,29590,139
asian,male,12,30,51700,222
asian,male,12,40,66740,217
asian,male,12,50,67600,210
asian,male,12,60,65020,192
asian,male,12,73,52340,108
asian,male,13,21,19080,269
asian,male,13,30,41690,141
asian,male,13,40,67860,132
asian,male,13,50,142200,128
asian,male,13,60,63000,78
asian,male,13,73,42099,28
asian,male,14,21,54432,44
asian,male,14,30,72750,129
asian,male,14,40,76010,76
asian,male,14,50,54432,73
asian,male,14,60,79820,87
asian,male,14,73,44160,21
asian,male,16,21,54730,163
asian,male,16,30,99910,658
asian,male,16,40,131100,678
asian,male,16,50,121100,432
asian,male,16,60,138000,310
asian,male,16,73,92420,90
asian,male,18,21,142351,36
asian,male,18,30,126000,528
asian,male,18,40,175600,536
asian,male,18,50,183900,400
asian,male,18,60,175600,175
asian,male,18,73,142351,72
asian,male,17,21,213872,2
asian,male,17,30,213872,32
asian,male,17,40,213872,44
asian,male,17,50,213872,54
asian,male,17,60,213872,22
asian,male,17,73,213872,19
asian,male,22,21,159023,0
asian,male,22,30,115200,113
asian,male,22,40,168700,171
asian,male,22,50,225400,112
asian,male,22,60,159023,70
asian,male,22,73,159023,58
hispanic,female,8,21,0,18
hispanic,female,8,30,24020,110
hispanic,female,8,40,27260,154
hispanic,female,8,50,29040,298
hispanic,female,8,60,27640,231
hispanic,female,8,73,27590,86
hispanic,female,11,21,18680,208
hispanic,female,11,30,30910,186
hispanic,female,11,40,32130,278
hispanic,female,11,50,33110,255
hispanic,female,11,60,27890,210
hispanic,female,11,73,8731,52
hispanic,female,12,21,24850,953
hispanic,female,12,30,34110,1127
hispanic,female,12,40,36110,999
hispanic,female,12,50,44700,823
hispanic,female,12,60,48140,556
hispanic,female,12,73,33670,135
hispanic,female,13,21,20540,760
hispanic,female,13,30,40950,603
hispanic,female,13,40,48730,466
hispanic,female,13,50,56020,367
hispanic,female,13,60,45340,257
hispanic,female,13,73,38430,84
hispanic,female,14,21,27200,196
hispanic,female,14,30,40700,501
hispanic,female,14,40,50760,357
hispanic,female,14,50,68890,279
hispanic,female,14,60,46450,190
hispanic,female,14,73,34305,67
hispanic,female,16,21,42890,295
hispanic,female,16,30,63140,1017
hispanic,female,16,40,75140,707
hispanic,female,16,50,82170,587
hispanic,female,16,60,77200,326
hispanic,female,16,73,47998,70
hispanic,female,18,21,72691,14
hispanic,female,18,30,75340,280
hispanic,female,18,40,89570,318
hispanic,female,18,50,95310,271
hispanic,female,18,60,71250,157
hispanic,female,18,73,72691,40
hispanic,female,17,21,72691,3
hispanic,female,17,30,72691,32
hispanic,female,17,40,72691,26
hispanic,female,17,50,72691,32
hispanic,female,17,60,72691,28
hispanic,female,17,73,72691,11
hispanic,female,22,21,84074,3
hispanic,female,22,30,84074,68
hispanic,female,22,40,84074,60
hispanic,female,22,50,84074,37
hispanic,female,22,60,84074,23
hispanic,female,22,73,84074,4
hispanic,male,8,21,25490,77
hispanic,male,8,30,31700,266
hispanic,male,8,40,41540,438
hispanic,male,8,50,45640,601
hispanic,male,8,60,43950,439
hispanic,male,8,73,43140,169
hispanic,male,11,21,23220,349
hispanic,male,11,30,51080,349
hispanic,male,11,40,40410,625
hispanic,male,11,50,54230,494
hispanic,male,11,60,52880,316
hispanic,male,11,73,70060,75
hispanic,male,12,21,31320,1293
hispanic,male,12,30,49470,1932
hispanic,male,12,40,54870,1627
hispanic,male,12,50,56430,1164
hispanic,male,12,60,64410,771
hispanic,male,12,73,54460,212
hispanic,male,13,21,23520,619
hispanic,male,13,30,57140,638
hispanic,male,13,40,71940,458
hispanic,male,13,50,75830,380
hispanic,male,13,60,74280,247
hispanic,male,13,73,44182,64
hispanic,male,14,21,33440,133
hispanic,male,14,30,68090,530
hispanic,male,14,40,78290,384
hispanic,male,14,50,66330,290
hispanic,male,14,60,93740,192
hispanic,male,14,73,51028,62
hispanic,male,16,21,46260,205
hispanic,male,16,30,81860,911
hispanic,male,16,40,104500,651
hispanic,male,16,50,90740,538
hispanic,male,16,60,87650,293
hispanic,male,16,73,70960,146
hispanic,male,18,21,92838,7
hispanic,male,18,30,92300,160
hispanic,male,18,40,123600,246
hispanic,male,18,50,115200,162
hispanic,male,18,60,126500,107
hispanic,male,18,73,92838,58
hispanic,male,17,21,108197,3
hispanic,male,17,30,108197,26
hispanic,male,17,40,108197,52
hispanic,male,17,50,108197,26
hispanic,male,17,60,108197,16
hispanic,male,17,73,108197,36
hispanic,male,22,21,114724,0
hispanic,male,22,30,114724,38
hispanic,male,22,40,114724,58
hispanic,male,22,50,114724,26
hispanic,male,22,60,114724,25
hispanic,male,22,73,114724,12
